#ell D_ell[µK²] error
2.000000000000000000e+00 8.440776155806131655e-05 8.540776155806132730e-06
3.000000000000000000e+00 8.504595090305110713e-05 8.604595090305111789e-06
4.000000000000000000e+00 6.930865005403888520e-05 7.030865005403888918e-06
5.000000000000000000e+00 5.520036740728481917e-05 5.620036740728482485e-06
6.000000000000000000e+00 4.726273169977353392e-05 4.826273169977353451e-06
7.000000000000000000e+00 4.294564815579846533e-05 4.394564815579846762e-06
8.000000000000000000e+00 4.664803999253074897e-05 4.764803999253075125e-06
9.000000000000000000e+00 4.584177253936011016e-05 4.684177253936011583e-06
1.000000000000000000e+01 4.021267580025490935e-05 4.121267580025490994e-06
1.100000000000000000e+01 4.349415200084359376e-05 4.449415200084359604e-06
1.200000000000000000e+01 3.828731214049973478e-05 3.928731214049973368e-06
1.300000000000000000e+01 4.042256651639170018e-05 4.142256651639169907e-06
1.400000000000000000e+01 3.446184567048641119e-05 3.546184567048641348e-06
1.500000000000000000e+01 3.145841726528054457e-05 3.245841726528054601e-06
1.600000000000000000e+01 2.754127800022570027e-05 2.854127800022570002e-06
1.700000000000000000e+01 3.117952095091024552e-05 3.217952095091024611e-06
1.800000000000000000e+01 2.512193842775748773e-05 2.612193842775748832e-06
1.900000000000000000e+01 2.505159288996717772e-05 2.605159288996717831e-06
2.000000000000000000e+01 2.298815512531521244e-05 2.398815512531521388e-06
2.100000000000000000e+01 2.088182516589787635e-05 2.188182516589787524e-06
2.200000000000000000e+01 2.009735463768363070e-05 2.109735463768362959e-06
2.300000000000000000e+01 1.990577320705510793e-05 2.090577320705510936e-06
2.400000000000000000e+01 2.164622127769416844e-05 2.264622127769416987e-06
2.500000000000000000e+01 2.111473056355200423e-05 2.211473056355200312e-06
2.600000000000000000e+01 2.005647466330368699e-05 2.105647466330368503e-06
2.700000000000000000e+01 1.854182327615118799e-05 1.954182327615118943e-06
2.800000000000000000e+01 2.039147652370470684e-05 2.139147652370470658e-06
2.900000000000000000e+01 1.945368392670686859e-05 2.045368392670686664e-06
3.000000000000000000e+01 1.964613504396611646e-05 2.064613504396611705e-06
3.100000000000000000e+01 1.896499300059186228e-05 1.996499300059186287e-06
3.200000000000000000e+01 1.917396467119460412e-05 2.017396467119460386e-06
3.300000000000000000e+01 2.162657298853570050e-05 2.262657298853570194e-06
3.400000000000000000e+01 2.043239686825466331e-05 2.143239686825466475e-06
3.500000000000000000e+01 1.973936500850960845e-05 2.073936500850960649e-06
3.600000000000000000e+01 1.939542773236015085e-05 2.039542773236014889e-06
3.700000000000000000e+01 1.984971418250040321e-05 2.084971418250040126e-06
3.800000000000000000e+01 1.886208142240107513e-05 1.986208142240107403e-06
3.900000000000000000e+01 1.856487226147484495e-05 1.956487226147484385e-06
4.000000000000000000e+01 1.840170778133886029e-05 1.940170778133886003e-06
4.100000000000000000e+01 1.881554604950944052e-05 1.981554604950944280e-06
4.200000000000000000e+01 1.743628677650886831e-05 1.843628677650886974e-06
4.300000000000000000e+01 1.856053657227926560e-05 1.956053657227926534e-06
4.400000000000000000e+01 1.751120005673766780e-05 1.851120005673766839e-06
4.500000000000000000e+01 1.679936691738613923e-05 1.779936691738613898e-06
4.600000000000000000e+01 1.585473965001655574e-05 1.685473965001655633e-06
4.700000000000000000e+01 1.553805815607239821e-05 1.653805815607239796e-06
4.800000000000000000e+01 1.585172416025236390e-05 1.685172416025236365e-06
4.900000000000000000e+01 1.637243283813470370e-05 1.737243283813470598e-06
5.000000000000000000e+01 1.572498964761168700e-05 1.672498964761168928e-06
