#ell D_ell[µK²] error
2.000000000000000000e+00 8.515489652777369594e-05 8.540776155806132730e-06
3.000000000000000000e+00 8.776617784741817493e-05 8.604595090305113483e-06
4.000000000000000000e+00 6.608510502529607881e-05 7.030865005403888918e-06
5.000000000000000000e+00 5.477703030773291385e-05 5.620036740728482485e-06
6.000000000000000000e+00 4.611586117695011923e-05 4.826273169977353451e-06
7.000000000000000000e+00 4.355785991282556024e-05 4.394564815579845915e-06
8.000000000000000000e+00 4.478967006422165221e-05 4.764803999253075972e-06
9.000000000000000000e+00 4.455332852236601384e-05 4.684177253936010736e-06
1.000000000000000000e+01 3.925090422582211929e-05 4.121267580025491841e-06
1.100000000000000000e+01 4.442670861015307653e-05 4.449415200084359604e-06
1.200000000000000000e+01 3.711415713092250151e-05 3.928731214049972520e-06
1.300000000000000000e+01 4.031861637195942902e-05 4.142256651639170754e-06
1.400000000000000000e+01 3.481396146676270540e-05 3.546184567048641348e-06
1.500000000000000000e+01 3.224468076990205770e-05 3.245841726528054601e-06
1.600000000000000000e+01 2.686661005716835959e-05 2.854127800022570002e-06
1.700000000000000000e+01 3.150556430725923673e-05 3.217952095091024188e-06
1.800000000000000000e+01 2.438160860594671542e-05 2.612193842775748832e-06
1.900000000000000000e+01 2.524604018521012830e-05 2.605159288996717831e-06
2.000000000000000000e+01 2.179266468285635301e-05 2.398815512531521811e-06
2.100000000000000000e+01 2.086818146717986930e-05 2.188182516589787948e-06
2.200000000000000000e+01 2.076891978275702329e-05 2.109735463768363383e-06
2.300000000000000000e+01 1.935221530575039148e-05 2.090577320705511360e-06
2.400000000000000000e+01 2.154886617329427413e-05 2.264622127769417411e-06
2.500000000000000000e+01 2.072269608427612894e-05 2.211473056355200312e-06
2.600000000000000000e+01 2.037220266744290420e-05 2.105647466330368503e-06
2.700000000000000000e+01 1.806856032399810070e-05 1.954182327615119366e-06
2.800000000000000000e+01 2.059219788672737189e-05 2.139147652370471082e-06
2.900000000000000000e+01 1.885304206985703195e-05 2.045368392670686664e-06
3.000000000000000000e+01 1.900251401267158719e-05 2.064613504396611705e-06
3.100000000000000000e+01 1.854082220619285827e-05 1.996499300059186287e-06
3.200000000000000000e+01 1.938224756405977582e-05 2.017396467119460810e-06
3.300000000000000000e+01 2.118610396966911008e-05 2.262657298853570617e-06
3.400000000000000000e+01 2.073150783460798235e-05 2.143239686825466898e-06
3.500000000000000000e+01 1.881602576654460619e-05 2.073936500850961073e-06
3.600000000000000000e+01 1.912894936288444899e-05 2.039542773236015313e-06
3.700000000000000000e+01 1.975875182517706512e-05 2.084971418250040549e-06
3.800000000000000000e+01 1.888535151927784423e-05 1.986208142240107403e-06
3.900000000000000000e+01 1.885467408565703328e-05 1.956487226147484385e-06
4.000000000000000000e+01 1.906682000550004904e-05 1.940170778133886003e-06
4.100000000000000000e+01 1.928119137775380395e-05 1.981554604950944280e-06
4.200000000000000000e+01 1.717511722943510370e-05 1.843628677650887186e-06
4.300000000000000000e+01 1.868786432552454582e-05 1.956053657227926534e-06
4.400000000000000000e+01 1.826421764245419243e-05 1.851120005673766839e-06
4.500000000000000000e+01 1.686175033058805696e-05 1.779936691738613898e-06
4.600000000000000000e+01 1.521943465799363335e-05 1.685473965001655633e-06
4.700000000000000000e+01 1.540477027814529098e-05 1.653805815607240219e-06
4.800000000000000000e+01 1.590335151700403892e-05 1.685172416025236576e-06
4.900000000000000000e+01 1.579544281697775458e-05 1.737243283813470810e-06
5.000000000000000000e+01 1.551881808774562409e-05 1.672498964761168928e-06
5.100000000000000000e+01 1.644234360689020378e-05 1.750286824505425041e-06
5.200000000000000000e+01 1.468980551532694047e-05 1.592846840062262743e-06
5.300000000000000000e+01 1.543985991550840415e-05 1.637389297189581449e-06
5.400000000000000000e+01 1.395419791696514048e-05 1.476999338467260152e-06
5.500000000000000000e+01 1.473103697817050197e-05 1.617261124969132500e-06
5.600000000000000000e+01 1.467759907716788682e-05 1.583799162106379409e-06
